transaction_key,fund_key,transaction_date_key,investor_id,transaction_type,amount,units,nav,state,kyc_status,source_file
38,3,20220101,INV00006,SIP,20574.33,94.64,237.72,Uttar Pradesh,Verified,synthetic_transactions
39,5,20220101,INV00023,SIP,20573.18,178.77,236.97,Delhi,Verified,synthetic_transactions
40,4,20220101,INV00127,SIP,14476.48,268.71,86.98,Gujarat,Verified,synthetic_transactions
41,6,20220101,INV00119,SIP,17061.07,262.98,183.26,Karnataka,Verified,synthetic_transactions
42,2,20220101,INV00013,LUMPSUM,21677.53,606.28,129.44,Uttar Pradesh,Verified,synthetic_transactions
43,1,20220101,INV00108,SIP,13900.03,55.88,126.71,Tamil Nadu,Verified,synthetic_transactions
44,6,20220101,INV00177,SIP,15901.48,104.4,64.71,Tamil Nadu,Verified,synthetic_transactions
45,1,20220101,INV00090,SIP,20814.45,169.83,225.22,West Bengal,Verified,synthetic_transactions
46,3,20220101,INV00098,SIP,16274.75,98.3,197.62,Tamil Nadu,Verified,synthetic_transactions
47,4,20220101,INV00163,SIP,20748.97,128.51,93.44,Maharashtra,Verified,synthetic_transactions
48,3,20220101,INV00045,SIP,13188.47,133.19,112.02,Andhra Pradesh,Verified,synthetic_transactions
49,3,20220101,INV00065,SIP,11784.02,97.93,61.72,Karnataka,Verified,synthetic_transactions
50,4,20220101,INV00180,SIP,17812.61,111.02,189.34,Tamil Nadu,Verified,synthetic_transactions
51,5,20220101,INV00072,SIP,20240.0,84.53,47.06,Telangana,Verified,synthetic_transactions
52,3,20220101,INV00161,SIP,16408.28,73.95,192.53,Maharashtra,Verified,synthetic_transactions
53,1,20220101,INV00181,SIP,17195.15,137.76,45.38,Uttar Pradesh,Verified,synthetic_transactions
54,5,20220101,INV00076,SIP,14943.29,105.19,179.21,Andhra Pradesh,Verified,synthetic_transactions
55,5,20220101,INV00060,SIP,15806.99,83.41,205.62,West Bengal,Verified,synthetic_transactions
56,5,20220101,INV00102,LUMPSUM,22438.49,232.3,52.33,Maharashtra,Verified,synthetic_transactions
57,2,20220101,INV00230,SIP,9732.02,51.11,85.32,Tamil Nadu,Verified,synthetic_transactions
58,2,20220101,INV00019,SIP,16370.32,197.92,98.63,Rajasthan,Verified,synthetic_transactions
59,3,20220101,INV00189,SIP,13212.81,102.03,164.32,Maharashtra,Verified,synthetic_transactions
60,1,20220101,INV00016,LUMPSUM,17125.81,76.61,228.07,Andhra Pradesh,Verified,synthetic_transactions
61,1,20220101,INV00218,SIP,17996.3,1304.71,124.53,Maharashtra,Verified,synthetic_transactions
62,6,20220101,INV00075,SIP,15773.48,110.68,210.79,Maharashtra,Verified,synthetic_transactions
63,5,20220101,INV00008,SIP,16873.06,79.04,248.76,Tamil Nadu,Verified,synthetic_transactions
64,2,20220101,INV00228,LUMPSUM,26099.81,245.3,74.34,Uttar Pradesh,Verified,synthetic_transactions
65,3,20220101,INV00182,LUMPSUM,19548.15,136.05,81.11,Telangana,Verified,synthetic_transactions
66,3,20220101,INV00229,SIP,13189.14,55.46,106.69,Uttar Pradesh,Verified,synthetic_transactions
67,1,20220101,INV00034,SIP,13178.47,252.89,204.88,Rajasthan,Verified,synthetic_transactions
68,1,20220101,INV00203,LUMPSUM,24349.81,141.04,205.47,Tamil Nadu,Verified,synthetic_transactions
69,2,20220101,INV00126,SIP,12091.32,164.5,113.19,Maharashtra,Verified,synthetic_transactions
70,1,20220101,INV00225,SIP,14450.16,74.01,100.8,Karnataka,Verified,synthetic_transactions
71,2,20220101,INV00241,SIP,15073.56,102.49,248.58,Gujarat,Verified,synthetic_transactions
72,2,20220101,INV00211,SIP,14617.44,71.52,31.37,Uttar Pradesh,Verified,synthetic_transactions
73,6,20220101,INV00171,SIP,9139.14,165.2,56.92,Rajasthan,Verified,synthetic_transactions
74,5,20220101,INV00017,SIP,11475.08,69.91,175.7,Gujarat,Pending,synthetic_transactions
75,6,20220101,INV00147,SIP,15802.12,68.23,69.01,Maharashtra,Verified,synthetic_transactions
76,3,20220101,INV00107,SIP,17831.72,145.71,58.13,Karnataka,Verified,synthetic_transactions
77,5,20220101,INV00244,SIP,16270.2,80.92,227.83,Delhi,Verified,synthetic_transactions
78,3,20220101,INV00005,SIP,14369.06,202.0,42.41,Delhi,Pending,synthetic_transactions
79,4,20220101,INV00220,SIP,22285.61,104.53,105.81,Maharashtra,Verified,synthetic_transactions
80,2,20220101,INV00062,SIP,15116.39,76.39,60.62,Gujarat,Pending,synthetic_transactions
81,1,20220101,INV00125,LUMPSUM,18139.26,280.63,22.13,Andhra Pradesh,Verified,synthetic_transactions
82,6,20220101,INV00053,SIP,12923.08,67.17,40.79,Gujarat,Verified,synthetic_transactions
83,1,20220101,INV00067,LUMPSUM,19586.95,169.01,220.4,Rajasthan,Verified,synthetic_transactions
84,2,20220101,INV00027,SIP,16257.62,85.64,79.09,Karnataka,Verified,synthetic_transactions
85,6,20220101,INV00110,SIP,15133.64,115.29,149.83,Gujarat,Verified,synthetic_transactions
86,6,20220101,INV00242,SIP,13733.49,198.42,186.77,Maharashtra,Verified,synthetic_transactions
87,3,20220101,INV00223,SIP,11082.06,55.17,240.55,Karnataka,Verified,synthetic_transactions
88,2,20220101,INV00041,LUMPSUM,29967.38,317.14,163.17,Gujarat,Verified,synthetic_transactions
89,2,20220201,INV00068,LUMPSUM,22804.22,209.27,220.13,Andhra Pradesh,Verified,synthetic_transactions
90,4,20220201,INV00250,SIP,15117.17,61.65,222.05,Karnataka,Verified,synthetic_transactions
91,6,20220201,INV00231,SIP,11302.84,72.67,168.04,Karnataka,Verified,synthetic_transactions
92,2,20220201,INV00162,SIP,11588.79,64.08,145.25,Delhi,Verified,synthetic_transactions
93,1,20220201,INV00092,SIP,16941.0,77.85,17.41,Uttar Pradesh,Verified,synthetic_transactions
94,1,20220201,INV00225,LUMPSUM,23207.72,122.19,71.83,Karnataka,Verified,synthetic_transactions
95,1,20220201,INV00059,SIP,15786.53,255.35,137.51,Karnataka,Verified,synthetic_transactions
96,1,20220201,INV00235,SIP,10996.18,665.48,240.04,Maharashtra,Verified,synthetic_transactions
97,4,20220201,INV00181,SIP,9527.04,69.24,124.27,Uttar Pradesh,Verified,synthetic_transactions
98,6,20220201,INV00005,SIP,17902.77,80.23,204.82,Delhi,Verified,synthetic_transactions
99,6,20220201,INV00243,SIP,15057.55,61.87,226.69,Maharashtra,Pending,synthetic_transactions
100,1,20220201,INV00189,SIP,16856.2,277.12,31.6,Maharashtra,Verified,synthetic_transactions
101,1,20220201,INV00117,SIP,20147.83,725.42,41.81,Uttar Pradesh,Verified,synthetic_transactions
102,2,20220201,INV00183,SIP,15523.66,96.17,221.72,Delhi,Verified,synthetic_transactions
103,5,20220201,INV00128,SIP,11735.52,99.98,93.06,Uttar Pradesh,Verified,synthetic_transactions
104,1,20220201,INV00079,SIP,13291.08,183.15,46.85,West Bengal,Verified,synthetic_transactions
105,3,20220201,INV00185,LUMPSUM,21265.24,121.76,215.54,Rajasthan,Verified,synthetic_transactions
106,6,20220201,INV00052,SIP,14111.1,227.64,175.34,Gujarat,Pending,synthetic_transactions
107,1,20220201,INV00028,SIP,13926.37,175.04,143.03,Karnataka,Verified,synthetic_transactions
108,5,20220201,INV00074,SIP,12763.68,300.89,176.45,Rajasthan,Verified,synthetic_transactions
109,3,20220201,INV00226,SIP,12697.58,108.3,108.17,Tamil Nadu,Verified,synthetic_transactions
110,1,20220201,INV00035,SIP,13046.08,69.28,66.89,Uttar Pradesh,Verified,synthetic_transactions
111,2,20220201,INV00096,SIP,15520.51,125.76,129.81,Karnataka,Verified,synthetic_transactions
112,3,20220201,INV00187,LUMPSUM,21177.74,154.72,154.48,Telangana,Verified,synthetic_transactions
113,3,20220201,INV00121,SIP,15579.07,124.05,231.2,Gujarat,Verified,synthetic_transactions
114,5,20220201,INV00120,SIP,18113.39,153.32,53.41,Telangana,Verified,synthetic_transactions
115,6,20220201,INV00247,SIP,15320.71,134.79,194.62,Andhra Pradesh,Verified,synthetic_transactions
116,1,20220201,INV00240,SIP,14522.2,308.8,235.86,Gujarat,Verified,synthetic_transactions
117,3,20220201,INV00039,SIP,16446.6,100.3,108.94,West Bengal,Verified,synthetic_transactions
118,2,20220201,INV00217,SIP,16533.06,127.13,191.46,Karnataka,Verified,synthetic_transactions
119,1,20220201,INV00227,LUMPSUM,19610.16,248.69,70.1,Karnataka,Verified,synthetic_transactions
120,3,20220201,INV00045,SIP,17001.35,68.65,136.43,Andhra Pradesh,Verified,synthetic_transactions
121,5,20220201,INV00063,LUMPSUM,26467.84,449.17,136.85,Delhi,Verified,synthetic_transactions
122,1,20220201,INV00209,SIP,17491.79,70.95,246.41,Andhra Pradesh,Pending,synthetic_transactions
123,4,20220201,INV00161,SIP,15483.99,177.97,141.35,Maharashtra,Verified,synthetic_transactions
124,3,20220201,INV00230,SIP,15889.43,147.13,189.8,Tamil Nadu,Verified,synthetic_transactions
125,3,20220201,INV00040,SIP,15367.93,277.95,214.13,Andhra Pradesh,Verified,synthetic_transactions
126,1,20220201,INV00032,SIP,15422.21,107.88,15.08,Tamil Nadu,Verified,synthetic_transactions
127,2,20220201,INV00019,SIP,15918.67,209.44,25.59,Rajasthan,Verified,synthetic_transactions
128,2,20220201,INV00237,SIP,14918.84,69.81,47.3,Rajasthan,Verified,synthetic_transactions
129,3,20220201,INV00206,SIP,12628.94,463.77,202.66,Tamil Nadu,Verified,synthetic_transactions
130,3,20220201,INV00020,SIP,14817.89,65.3,141.88,Tamil Nadu,Verified,synthetic_transactions
131,1,20220201,INV00094,SIP,13935.95,75.76,153.86,Maharashtra,Pending,synthetic_transactions
132,1,20220201,INV00103,SIP,17165.04,137.83,96.32,West Bengal,Verified,synthetic_transactions
133,5,20220201,INV00034,SIP,18895.73,104.55,14.43,Rajasthan,Verified,synthetic_transactions
134,3,20220201,INV00111,SIP,12681.57,64.57,204.52,Telangana,Verified,synthetic_transactions
135,4,20220201,INV00036,SIP,13382.52,86.44,68.94,Telangana,Verified,synthetic_transactions
136,4,20220201,INV00012,SIP,11462.92,104.83,52.4,Delhi,Verified,synthetic_transactions
137,5,20220201,INV00030,LUMPSUM,27223.01,116.79,14.29,Tamil Nadu,Pending,synthetic_transactions
138,2,20220201,INV00001,LUMPSUM,24625.67,127.51,242.85,Maharashtra,Pending,synthetic_transactions
139,6,20220201,INV00229,LUMPSUM,25819.3,897.83,213.95,Uttar Pradesh,Verified,synthetic_transactions
140,2,20220201,INV00086,SIP,13800.35,93.73,46.86,Telangana,Verified,synthetic_transactions
141,4,20220201,INV00113,SIP,17907.73,83.78,123.39,Tamil Nadu,Verified,synthetic_transactions
142,1,20220201,INV00149,SIP,13882.68,74.66,98.56,West Bengal,Verified,synthetic_transactions
143,2,20220201,INV00172,SIP,14331.49,60.67,186.2,Delhi,Verified,synthetic_transactions
144,2,20220201,INV00118,LUMPSUM,24461.51,114.09,68.01,Telangana,Verified,synthetic_transactions
145,6,20220201,INV00119,LUMPSUM,24781.82,140.56,246.96,Karnataka,Verified,synthetic_transactions
146,5,20220201,INV00029,SIP,13460.07,147.05,27.1,Telangana,Verified,synthetic_transactions
147,6,20220201,INV00017,SIP,15953.9,176.46,212.97,Gujarat,Verified,synthetic_transactions
148,6,20220201,INV00131,LUMPSUM,26814.91,112.33,166.19,Rajasthan,Verified,synthetic_transactions
149,2,20220201,INV00182,LUMPSUM,22943.52,521.52,46.65,Telangana,Verified,synthetic_transactions
150,5,20220201,INV00151,SIP,15936.44,365.94,115.86,Andhra Pradesh,Verified,synthetic_transactions
151,1,20220201,INV00173,SIP,14573.72,823.82,157.45,Rajasthan,Verified,synthetic_transactions
152,4,20220201,INV00190,SIP,10607.54,797.17,69.59,Telangana,Verified,synthetic_transactions
153,6,20220201,INV00048,SIP,13939.34,138.45,137.31,Karnataka,Verified,synthetic_transactions
154,5,20220201,INV00198,SIP,15836.42,170.73,111.11,Tamil Nadu,Verified,synthetic_transactions
155,1,20220201,INV00041,SIP,16703.78,1088.58,154.33,Gujarat,Verified,synthetic_transactions
156,4,20220201,INV00169,SIP,16100.06,99.53,233.0,Telangana,Pending,synthetic_transactions
157,1,20220201,INV00139,SIP,13675.77,96.8,45.22,Karnataka,Verified,synthetic_transactions
158,3,20220201,INV00070,LUMPSUM,24309.26,204.97,212.24,Gujarat,Verified,synthetic_transactions
159,1,20220201,INV00090,SIP,19783.43,159.58,41.42,West Bengal,Verified,synthetic_transactions
160,3,20220201,INV00233,LUMPSUM,24942.99,190.44,31.77,West Bengal,Verified,synthetic_transactions
161,6,20220201,INV00177,LUMPSUM,24581.45,101.13,72.12,Tamil Nadu,Verified,synthetic_transactions
162,4,20220201,INV00188,LUMPSUM,20865.22,270.71,215.31,West Bengal,Verified,synthetic_transactions
163,5,20220201,INV00180,SIP,18611.08,339.89,82.34,Tamil Nadu,Verified,synthetic_transactions
164,3,20220201,INV00060,SIP,17182.56,99.2,53.52,West Bengal,Verified,synthetic_transactions
165,1,20220201,INV00089,SIP,17647.07,188.28,182.02,Maharashtra,Verified,synthetic_transactions
166,3,20220201,INV00241,SIP,12854.63,87.29,61.32,Gujarat,Pending,synthetic_transactions
167,5,20220201,INV00200,SIP,17257.64,134.09,39.75,Rajasthan,Verified,synthetic_transactions
168,3,20220201,INV00208,SIP,15474.93,75.98,234.86,Gujarat,Verified,synthetic_transactions
169,2,20220201,INV00091,SIP,12608.23,50.78,91.97,Telangana,Verified,synthetic_transactions
170,4,20220201,INV00015,SIP,14567.91,276.44,157.15,Telangana,Verified,synthetic_transactions
171,1,20220201,INV00160,LUMPSUM,24054.74,1233.93,35.98,Andhra Pradesh,Verified,synthetic_transactions
172,1,20220201,INV00022,SIP,15481.71,274.96,100.87,Gujarat,Verified,synthetic_transactions
173,4,20220201,INV00057,SIP,13052.66,413.9,16.05,Karnataka,Verified,synthetic_transactions
174,3,20220201,INV00223,SIP,17896.49,76.86,131.01,Karnataka,Verified,synthetic_transactions
175,1,20220201,INV00056,SIP,16510.02,85.3,212.63,Delhi,Verified,synthetic_transactions
176,2,20220201,INV00108,SIP,15576.95,76.53,84.03,Tamil Nadu,Pending,synthetic_transactions
177,2,20220301,INV00090,SIP,19539.67,100.3,32.39,West Bengal,Verified,synthetic_transactions
178,2,20220301,INV00092,SIP,14981.74,74.24,154.58,Uttar Pradesh,Verified,synthetic_transactions
179,5,20220301,INV00094,SIP,16209.4,148.16,20.19,Maharashtra,Verified,synthetic_transactions
180,2,20220301,INV00225,SIP,16904.4,150.9,221.06,Karnataka,Verified,synthetic_transactions
181,5,20220301,INV00127,LUMPSUM,27020.85,304.72,130.6,Gujarat,Verified,synthetic_transactions
182,3,20220301,INV00242,SIP,15610.89,336.21,94.46,Maharashtra,Verified,synthetic_transactions
183,2,20220301,INV00232,SIP,18352.09,256.27,242.75,Uttar Pradesh,Verified,synthetic_transactions
184,3,20220301,INV00031,LUMPSUM,23092.48,523.58,136.35,Rajasthan,Verified,synthetic_transactions
185,5,20220301,INV00036,SIP,18828.72,257.13,233.1,Telangana,Verified,synthetic_transactions
186,1,20220301,INV00140,SIP,13882.23,575.46,153.49,Uttar Pradesh,Verified,synthetic_transactions
187,5,20220301,INV00011,SIP,15999.34,222.05,169.1,Karnataka,Verified,synthetic_transactions
188,5,20220301,INV00250,LUMPSUM,25650.24,469.49,87.58,Karnataka,Verified,synthetic_transactions
189,6,20220301,INV00176,SIP,13821.28,290.91,35.0,Maharashtra,Pending,synthetic_transactions
190,5,20220301,INV00229,SIP,18933.83,150.54,231.37,Uttar Pradesh,Verified,synthetic_transactions
191,4,20220301,INV00131,SIP,11407.87,48.05,85.53,Rajasthan,Verified,synthetic_transactions
192,4,20220301,INV00004,SIP,14931.8,268.51,225.61,Telangana,Verified,synthetic_transactions
193,5,20220301,INV00181,SIP,16950.26,878.24,166.9,Uttar Pradesh,Verified,synthetic_transactions
194,6,20220301,INV00198,SIP,11024.72,46.33,189.64,Tamil Nadu,Verified,synthetic_transactions
195,5,20220301,INV00224,SIP,14509.87,147.45,138.92,Maharashtra,Verified,synthetic_transactions
196,5,20220301,INV00091,SIP,13183.07,185.44,102.62,Telangana,Verified,synthetic_transactions
197,5,20220301,INV00085,SIP,15716.12,152.35,92.89,Karnataka,Verified,synthetic_transactions
198,3,20220301,INV00135,SIP,15907.94,105.35,241.89,Delhi,Verified,synthetic_transactions
199,3,20220301,INV00188,LUMPSUM,26183.64,1086.8,112.98,West Bengal,Verified,synthetic_transactions
200,5,20220301,INV00025,LUMPSUM,28318.71,877.6,144.88,Gujarat,Verified,synthetic_transactions
201,5,20220301,INV00235,SIP,15435.75,84.06,218.65,Maharashtra,Verified,synthetic_transactions
202,2,20220301,INV00157,SIP,15895.92,74.91,218.57,Tamil Nadu,Verified,synthetic_transactions
203,4,20220301,INV00055,SIP,17129.14,79.12,165.62,Telangana,Verified,synthetic_transactions
204,3,20220301,INV00154,SIP,12463.67,69.67,59.05,Karnataka,Verified,synthetic_transactions
205,5,20220301,INV00021,LUMPSUM,24864.02,429.05,80.15,Karnataka,Pending,synthetic_transactions
206,2,20220301,INV00102,SIP,12196.75,145.49,81.79,Maharashtra,Verified,synthetic_transactions
207,3,20220301,INV00014,SIP,13819.38,1237.66,185.08,Andhra Pradesh,Pending,synthetic_transactions
208,2,20220301,INV00114,SIP,17368.8,137.14,114.67,Tamil Nadu,Verified,synthetic_transactions
209,2,20220301,INV00042,SIP,16297.64,106.13,225.55,Andhra Pradesh,Pending,synthetic_transactions
210,6,20220301,INV00220,SIP,16026.45,300.29,94.51,Maharashtra,Verified,synthetic_transactions
211,1,20220301,INV00216,SIP,15145.25,117.31,230.62,Rajasthan,Verified,synthetic_transactions
212,1,20220301,INV00100,SIP,17259.12,589.72,73.06,Karnataka,Pending,synthetic_transactions
213,5,20220301,INV00218,SIP,20396.41,138.12,129.52,Maharashtra,Verified,synthetic_transactions
214,6,20220301,INV00024,SIP,18443.29,426.34,112.81,Gujarat,Verified,synthetic_transactions
215,5,20220301,INV00054,LUMPSUM,30783.07,210.47,26.59,Gujarat,Verified,synthetic_transactions
216,3,20220301,INV00145,SIP,18687.69,236.15,183.7,Delhi,Verified,synthetic_transactions
217,5,20220301,INV00015,LUMPSUM,23214.49,740.66,15.7,Telangana,Verified,synthetic_transactions
218,6,20220301,INV00167,LUMPSUM,18182.81,128.42,112.3,Rajasthan,Verified,synthetic_transactions
219,6,20220301,INV00067,SIP,15714.38,63.52,46.03,Rajasthan,Verified,synthetic_transactions
220,6,20220301,INV00164,SIP,19102.9,85.77,169.65,Gujarat,Verified,synthetic_transactions
221,4,20220301,INV00185,SIP,16693.39,170.38,135.15,Rajasthan,Verified,synthetic_transactions
222,4,20220301,INV00206,SIP,18531.57,263.96,97.61,Tamil Nadu,Verified,synthetic_transactions
223,6,20220301,INV00180,LUMPSUM,28764.34,683.1,176.53,Tamil Nadu,Verified,synthetic_transactions
224,3,20220301,INV00026,SIP,16332.82,1353.38,21.34,West Bengal,Verified,synthetic_transactions
225,5,20220301,INV00162,LUMPSUM,27175.81,143.38,27.25,Delhi,Verified,synthetic_transactions
226,2,20220301,INV00078,SIP,10544.03,835.22,152.85,Gujarat,Pending,synthetic_transactions
227,1,20220301,INV00075,SIP,13951.51,351.05,143.26,Maharashtra,Verified,synthetic_transactions
228,3,20220301,INV00156,SIP,15587.81,69.52,203.39,Uttar Pradesh,Verified,synthetic_transactions
229,2,20220301,INV00160,SIP,16490.91,184.98,233.67,Andhra Pradesh,Verified,synthetic_transactions
230,2,20220301,INV00158,LUMPSUM,24208.84,174.18,126.91,Telangana,Verified,synthetic_transactions
231,3,20220301,INV00123,SIP,14711.47,562.15,233.55,Tamil Nadu,Verified,synthetic_transactions
232,2,20220301,INV00065,SIP,15393.99,462.78,226.07,Karnataka,Verified,synthetic_transactions
233,6,20220301,INV00045,SIP,13933.38,86.23,191.76,Andhra Pradesh,Verified,synthetic_transactions
234,5,20220301,INV00072,SIP,11848.77,135.58,177.35,Telangana,Pending,synthetic_transactions
235,1,20220301,INV00007,SIP,17352.32,151.01,191.47,Andhra Pradesh,Pending,synthetic_transactions
236,2,20220301,INV00029,SIP,11531.22,82.68,125.53,Telangana,Verified,synthetic_transactions
237,4,20220301,INV00013,SIP,15222.69,101.54,150.45,Uttar Pradesh,Verified,synthetic_transactions
238,1,20220301,INV00030,SIP,16383.87,82.06,159.94,Tamil Nadu,Verified,synthetic_transactions
239,5,20220301,INV00227,SIP,11562.2,153.02,136.58,Karnataka,Verified,synthetic_transactions
240,4,20220301,INV00019,SIP,13428.35,88.26,63.22,Rajasthan,Verified,synthetic_transactions
241,1,20220301,INV00066,LUMPSUM,28481.41,187.47,91.26,Maharashtra,Verified,synthetic_transactions
242,6,20220301,INV00006,LUMPSUM,20436.51,151.67,98.38,Uttar Pradesh,Verified,synthetic_transactions
243,4,20220301,INV00132,SIP,18515.41,185.88,236.59,West Bengal,Verified,synthetic_transactions
244,6,20220301,INV00003,SIP,11875.44,130.22,205.78,Delhi,Verified,synthetic_transactions
245,3,20220301,INV00215,SIP,13285.91,363.03,156.08,Andhra Pradesh,Pending,synthetic_transactions
246,3,20220301,INV00193,SIP,18169.78,78.46,222.08,Maharashtra,Verified,synthetic_transactions
247,1,20220301,INV00112,SIP,17530.17,84.82,129.66,Rajasthan,Verified,synthetic_transactions
248,3,20220301,INV00116,SIP,17603.35,84.23,76.53,Karnataka,Verified,synthetic_transactions
249,6,20220301,INV00110,LUMPSUM,23020.54,167.08,164.16,Gujarat,Verified,synthetic_transactions
250,4,20220301,INV00223,SIP,11074.98,333.38,65.86,Karnataka,Verified,synthetic_transactions
251,5,20220301,INV00086,SIP,12708.74,89.71,61.63,Telangana,Verified,synthetic_transactions
252,3,20220301,INV00202,SIP,17335.81,108.16,228.93,West Bengal,Verified,synthetic_transactions
253,4,20220301,INV00129,LUMPSUM,26549.92,127.04,161.51,Delhi,Verified,synthetic_transactions
254,5,20220301,INV00231,SIP,17586.31,1260.15,239.94,Karnataka,Verified,synthetic_transactions
255,1,20220301,INV00240,SIP,15591.37,1201.62,132.34,Gujarat,Verified,synthetic_transactions
256,1,20220301,INV00191,SIP,19125.28,273.38,136.61,Telangana,Verified,synthetic_transactions
257,6,20220301,INV00010,LUMPSUM,23335.08,269.09,80.55,Telangana,Verified,synthetic_transactions
258,3,20220301,INV00128,SIP,15375.73,64.6,78.45,Uttar Pradesh,Verified,synthetic_transactions
259,4,20220301,INV00247,SIP,16303.22,134.41,17.44,Andhra Pradesh,Verified,synthetic_transactions
260,4,20220301,INV00046,SIP,19485.19,145.44,154.95,West Bengal,Verified,synthetic_transactions
261,5,20220301,INV00166,SIP,19947.86,119.31,248.93,Maharashtra,Verified,synthetic_transactions
262,1,20220301,INV00172,SIP,15708.39,75.37,140.85,Delhi,Verified,synthetic_transactions
263,3,20220301,INV00246,SIP,20136.67,511.74,232.28,Gujarat,Verified,synthetic_transactions
264,2,20220301,INV00142,LUMPSUM,29822.12,525.86,10.93,Andhra Pradesh,Verified,synthetic_transactions
265,3,20220401,INV00017,SIP,14666.45,124.02,106.57,Gujarat,Verified,synthetic_transactions
266,1,20220401,INV00065,LUMPSUM,25196.83,632.16,80.89,Karnataka,Pending,synthetic_transactions
267,1,20220401,INV00234,SIP,17557.5,74.33,238.16,Andhra Pradesh,Verified,synthetic_transactions
268,5,20220401,INV00071,SIP,17990.11,94.27,17.58,West Bengal,Verified,synthetic_transactions
269,6,20220401,INV00179,SIP,11683.96,68.79,94.29,Rajasthan,Verified,synthetic_transactions
270,2,20220401,INV00044,SIP,10808.83,55.29,75.07,Andhra Pradesh,Verified,synthetic_transactions
271,5,20220401,INV00007,SIP,19608.92,94.48,226.52,Andhra Pradesh,Verified,synthetic_transactions
272,3,20220401,INV00024,LUMPSUM,29840.21,127.72,147.09,Gujarat,Verified,synthetic_transactions
